"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 16 16:48:33 MSK 2021","Tue Feb 16 16:48:34 MSK 2021","984","test","test_comparison","","","","test_phones_on_contact_view_page",""
"passed","Tue Feb 16 16:49:09 MSK 2021","Tue Feb 16 16:49:17 MSK 2021","8354","test","test_cont_add","","","","test_add_new[None:firstnamevz9156d8T:lastname9T1l:address98A98H6E0N5j662:email7z45562I0R:email2292U19e8d12:email3pm8:homephoneF3:mobilephoneV703O29:workphone1297:secondaryphone6X65]",""
"passed","Tue Feb 16 16:49:59 MSK 2021","Tue Feb 16 16:50:00 MSK 2021","1541","test","test_group_add","","","","test_add_group[None:nameA86 RQ8re;header;footerL5G37z  eLa Txn]",""
"passed","Tue Feb 16 16:49:57 MSK 2021","Tue Feb 16 16:49:59 MSK 2021","1655","test","test_group_add","","","","test_add_group[None:name;header 7P 5 Zh OE;footerMcxgeZ7YYFd SivMnrf]",""
"passed","Tue Feb 16 16:49:51 MSK 2021","Tue Feb 16 16:49:53 MSK 2021","2052","test","test_group_add","","","","test_add_group[None:;;]",""
"passed","Tue Feb 16 16:48:32 MSK 2021","Tue Feb 16 16:48:33 MSK 2021","1377","test","test_comparison","","","","test_phones_on_home_page",""
"broken","Tue Feb 16 16:50:03 MSK 2021","Tue Feb 16 16:50:03 MSK 2021","12","test","test_group_edit","","","","test_edit_group_name",""
"passed","Tue Feb 16 16:48:51 MSK 2021","Tue Feb 16 16:49:00 MSK 2021","8166","test","test_cont_add","","","","test_add_new[None:firstname568242u24:lastnameSu79647W21Sa2:address45Yl0R51exl1984:email67864r1612:email26361Lx787sqcq3r4:email3QK91B2y35uYp88hqK:homephone:mobilephone4i04:workphonel:secondaryphone9qA7x0]",""
"broken","Tue Feb 16 16:49:31 MSK 2021","Tue Feb 16 16:49:31 MSK 2021","6","test","test_cont_edit","","","","test_cont_edit",""
"failed","Tue Feb 16 16:49:35 MSK 2021","Tue Feb 16 16:49:37 MSK 2021","1946","test","test_db_matches_ui","","","","test_contact1_list",""
"passed","Tue Feb 16 16:49:55 MSK 2021","Tue Feb 16 16:49:57 MSK 2021","1671","test","test_group_add","","","","test_add_group[None:namePpuD0Z;headerG mvc;footeruc Zh g]",""
"passed","Tue Feb 16 16:49:00 MSK 2021","Tue Feb 16 16:49:08 MSK 2021","8267","test","test_cont_add","","","","test_add_new[None:firstnamev341:lastname:address:email1:email234860xw6I523:email35m6:homephone47i1W:mobilephone17c:workphone2DZ63c:secondaryphone]",""
"passed","Tue Feb 16 16:50:02 MSK 2021","Tue Feb 16 16:50:03 MSK 2021","765","test","test_group_del","","","","test_delete_some_group",""
"failed","Tue Feb 16 16:49:31 MSK 2021","Tue Feb 16 16:49:35 MSK 2021","4292","test","test_db_matches_ui","","","","test_group_list",""
"passed","Tue Feb 16 16:50:00 MSK 2021","Tue Feb 16 16:50:02 MSK 2021","1665","test","test_group_add","","","","test_add_group[None:namep0w6;headerUD bvumh t6eV p;footeraxpyR MWp4 Ihu]",""
"passed","Tue Feb 16 16:49:53 MSK 2021","Tue Feb 16 16:49:55 MSK 2021","1734","test","test_group_add","","","","test_add_group[None:nameGeFfjsDy;headerDPN H4b ZtLed;footer16K5GbnA]",""
"passed","Tue Feb 16 16:48:20 MSK 2021","Tue Feb 16 16:48:27 MSK 2021","6536","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Tue Feb 16 16:48:30 MSK 2021","Tue Feb 16 16:48:32 MSK 2021","1430","test","test_comparison","","","","test_email_on_home_page",""
"passed","Tue Feb 16 16:48:27 MSK 2021","Tue Feb 16 16:48:30 MSK 2021","2817","test","test_comparison","","","","test_name_and_address_on_home_page",""
"passed","Tue Feb 16 16:49:38 MSK 2021","Tue Feb 16 16:49:51 MSK 2021","13188","test","test_del _contact_from_group","","","","test_del_contact_from_group",""
"passed","Tue Feb 16 16:49:18 MSK 2021","Tue Feb 16 16:49:26 MSK 2021","8198","test","test_cont_add","","","","test_add_new[None:firstnameud4459:lastname20958811t7d6IYL3:address88c:emailX8224:email224zv7T4hq7v7A2:email3t3X0G02T5331:homephoneLb44814:mobilephonel4:workphone7:secondaryphoneFrfe773h5]",""
"passed","Tue Feb 16 16:48:34 MSK 2021","Tue Feb 16 16:48:42 MSK 2021","8111","test","test_cont_add","","","","test_add_new[None::::::::::]",""
"passed","Tue Feb 16 16:48:43 MSK 2021","Tue Feb 16 16:48:51 MSK 2021","8228","test","test_cont_add","","","","test_add_new[None:firstnameF6094r7KV:lastnamex:address1Y6UG8P251E12:email8EB21f8A3309b:email2632c344O2X:email3xR:homephone1rv92b6Z3:mobilephone7:workphone6965m0k:secondaryphone655wG57Jd]",""
"passed","Tue Feb 16 16:49:27 MSK 2021","Tue Feb 16 16:49:30 MSK 2021","3423","test","test_cont_del","","","","test_delete_some_new",""
